date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,2330.TW,112585333000.0,3.05,78989911000.0,78983908000.0,78983908000.0,-1645583000.0,222034144000.0,9275072000.0,77338325000.0,259303020000.0,16.66,56274436000.0,3.61,437412411000.0,28.1,690493692000.0,44.35,187565145000.0,12.05,1123915753000.0,1123843499000.0,72.18,72.19,432979302000.0,27.81,866401363000.0,55.65,245414157000.0,15.76,259303020000.0,16.66,31056696000.0,1.99,24110858000.0,1.55,813219884000.0,52.23,784155185000.0,50.37,1556895055000.0,100.0,1556895055000.0,100.0,358449029000.0,437330933000.0,78881904000.0,156000661000.0,-57168005000.0,156119157000.0,54706227000.0,88258980000.0,-881782000.0,88258980000.0,-861616000.0,-48875682000.0,53189588000.0,
2015-08-15,2330.TW,105735807000.0,3.06,79417514000.0,79412904000.0,79412904000.0,-20259381000.0,205439752000.0,18718779000.0,59153523000.0,259303805000.0,16.12,56532959000.0,3.51,528895107000.0,32.87,731368790000.0,45.46,309379741000.0,19.23,1066627555000.0,1066580381000.0,66.29,66.3,542225511000.0,33.7,877484276000.0,54.54,232845770000.0,14.47,259303805000.0,16.12,42105299000.0,2.62,3854399000.0,0.24,829703176000.0,51.57,746889218000.0,46.42,1608853066000.0,100.0,1608853066000.0,100.0,358449029000.0,528813629000.0,170364600000.0,267067813000.0,-61278131000.0,293586228000.0,108544796000.0,186390663000.0,-1817825000.0,186390663000.0,-1212515000.0,-102689656000.0,85807446000.0,-0.14086716102159033
2015-11-15,2330.TW,110188424000.0,2.9,75329224000.0,75317300000.0,75317300000.0,9284315000.0,212504909000.0,8077319000.0,84601615000.0,259303805000.0,16.45,56298728000.0,3.57,515731398000.0,32.72,693661496000.0,44.01,201689370000.0,12.8,1150994944000.0,1150959166000.0,73.02,73.02,425223866000.0,26.98,882557314000.0,55.99,223534496000.0,14.18,259303805000.0,16.45,53525960000.0,3.4,13138191000.0,0.83,830825109000.0,52.71,822218442000.0,52.16,1576218810000.0,100.0,1576218810000.0,100.0,358449029000.0,515649920000.0,157200891000.0,385207252000.0,-116065652000.0,426028375000.0,163884425000.0,269785282000.0,-2875858000.0,269785282000.0,-2704853000.0,-172993344000.0,143438649000.0,0.08104652493495132
2016-04-01,2330.TW,104608037000.0,2.81,72837188000.0,72842055000.0,72842055000.0,-2093533000.0,203518563000.0,7801574000.0,70748522000.0,259303805000.0,15.64,56300215000.0,3.4,562688930000.0,33.95,746743991000.0,45.05,212228594000.0,12.8,1222634479000.0,1221671719000.0,73.7,73.76,434883819000.0,26.24,910774307000.0,54.95,222655225000.0,13.43,259303805000.0,15.64,51218941000.0,3.09,11774113000.0,0.71,853470392000.0,51.49,894293586000.0,53.95,1657518298000.0,100.0,1657518298000.0,100.0,358449029000.0,562607452000.0,204158423000.0,529879438000.0,-217245837000.0,570822795000.0,219303369000.0,350428911000.0,-4129316000.0,350428911000.0,-3156218000.0,-257516835000.0,197168813000.0,0.159807887594465
2016-05-16,2330.TW,112124894000.0,2.5,64781493000.0,64792597000.0,64792597000.0,-6498162000.0,203495361000.0,7463302000.0,58294435000.0,259303805000.0,15.02,56317375000.0,3.26,617984318000.0,35.79,812491107000.0,47.06,235893223000.0,13.66,1280946076000.0,1279973107000.0,74.14,74.19,445579560000.0,25.81,914034529000.0,52.94,209686337000.0,12.14,259303805000.0,15.02,62080661000.0,3.6,5276848000.0,0.31,844305450000.0,48.9,959075079000.0,55.55,1726525636000.0,100.0,1726525636000.0,100.0,562688930000.0,617984318000.0,55295388000.0,121528853000.0,-55347367000.0,121670945000.0,54950729000.0,72255899000.0,-1332589000.0,72255899000.0,-689803000.0,-38141373000.0,53252528000.0,-0.2723108457858391
2016-08-15,2330.TW,107468601000.0,2.79,72506321000.0,72528279000.0,72528279000.0,-390813000.0,221809846000.0,20878112000.0,72137466000.0,259303805000.0,14.37,56263141000.0,3.12,622359302000.0,34.49,852525071000.0,47.24,398739054000.0,22.1,1197330978000.0,1196454137000.0,66.3,66.35,607160582000.0,33.65,951966489000.0,52.76,208421528000.0,11.55,259303805000.0,14.37,51989582000.0,2.88,4888074000.0,0.27,875870205000.0,48.54,875999117000.0,48.55,1804491560000.0,100.0,1804491560000.0,100.0,562688930000.0,622359302000.0,59670372000.0,228205244000.0,-150053641000.0,258649930000.0,109352892000.0,165662290000.0,-2987896000.0,165662290000.0,-1289308000.0,-111727052000.0,108494830000.0,0.29564189831916454
2016-11-15,2330.TW,128366813000.0,3.74,96759056000.0,96789113000.0,96789113000.0,-10110165000.0,260405885000.0,11460502000.0,86678948000.0,259303805000.0,15.09,56269958000.0,3.27,463971657000.0,27.0,709591485000.0,41.29,257555112000.0,14.99,1283892649000.0,1283113034000.0,74.66,74.7,434794114000.0,25.3,1009095278000.0,58.71,177239002000.0,10.31,259303805000.0,15.09,66995176000.0,3.9,-5218902000.0,-0.3,934928493000.0,54.4,972758173000.0,56.6,1718686763000.0,100.0,1718686763000.0,100.0,562688930000.0,463971657000.0,-98717273000.0,354614803000.0,-256938363000.0,400502497000.0,164665319000.0,273911905000.0,-4509169000.0,273911905000.0,-3148821000.0,-215502503000.0,160278778000.0,0.016340619429802312
2017-04-01,2330.TW,125116865000.0,3.86,100200310000.0,100228247000.0,100228247000.0,5931951000.0,262227252000.0,11819228000.0,106160198000.0,259303805000.0,13.75,56272304000.0,2.98,541253833000.0,28.69,817729126000.0,43.35,318239273000.0,16.87,1390051126000.0,1389248261000.0,73.64,73.69,496404176000.0,26.31,1068726176000.0,56.65,178164903000.0,9.44,259303805000.0,13.75,74691233000.0,3.96,1663983000.0,0.09,997777687000.0,52.89,1072008169000.0,56.83,1886455302000.0,100.0,1886455302000.0,100.0,562688930000.0,541253833000.0,-21435097000.0,539834592000.0,-395439680000.0,585777893000.0,220084998000.0,385959380000.0,-6317500000.0,385959380000.0,-3302420000.0,-328045270000.0,214878280000.0,0.06379828731264725
2017-05-16,2330.TW,112428734000.0,3.38,87628898000.0,87620908000.0,87620908000.0,-21352321000.0,233914400000.0,10201591000.0,66268587000.0,259303805000.0,13.4,56282118000.0,2.91,564725266000.0,29.19,825661833000.0,42.68,321580524000.0,16.62,1456310025000.0,1455513363000.0,75.23,75.27,478353736000.0,24.73,1109001928000.0,57.32,156773212000.0,8.1,259303805000.0,13.4,81126932000.0,4.19,-19709627000.0,-1.02,1037364143000.0,53.62,1159637067000.0,59.94,1934663761000.0,100.0,1934663761000.0,100.0,541253833000.0,564725266000.0,23471433000.0,161008044000.0,-109230259000.0,161120108000.0,59133361000.0,97822499000.0,-2104979000.0,97822499000.0,-1257295000.0,-102505595000.0,51124844000.0,0.28520296556457114
2017-08-15,2330.TW,105101969000.0,2.56,66271019000.0,66270652000.0,66270652000.0,1410236000.0,213855212000.0,19846815000.0,67680888000.0,259303805000.0,13.05,56282780000.0,2.83,570466958000.0,28.72,838049552000.0,42.19,523507145000.0,26.35,1342365645000.0,1341685497000.0,67.54,67.58,644068132000.0,32.42,1148384225000.0,57.81,120560987000.0,6.07,259303805000.0,13.05,120363355000.0,6.06,-18296511000.0,-0.92,1077626759000.0,54.25,1044395423000.0,52.58,1986433777000.0,100.0,1986433777000.0,100.0,541253833000.0,570466958000.0,29213125000.0,264408424000.0,-207450014000.0,303307610000.0,116099116000.0,183939966000.0,-4588686000.0,183939966000.0,-1383051000.0,-207694057000.0,107542711000.0,0.10254924674040587
